x,y,z,v_x,v_y,v_z,|U|,acc,rho,pressure
-0.0192606, -0.0181824, 0.0501785, -0.00648073, -0.00647927, -0.188438, 0.18866, 9.8634, 1523.7, 0
-0.0192527, -0.0181746, 0.05118, -0.00618172, -0.00618553, -0.188297, 0.1885, 9.85739, 1524.74, 0
-0.0192452, -0.0181675, 0.0521814, -0.00589807, -0.00590798, -0.188161, 0.188346, 9.85198, 1525.76, 0
-0.019238, -0.0181609, 0.0531828, -0.00563248, -0.00564822, -0.188028, 0.188197, 9.8467, 1526.74, 0
-0.0192317, -0.0181549, 0.0541842, -0.00538708, -0.00540761, -0.187897, 0.188051, 9.84192, 1527.7, 0
-0.0192259, -0.0181488, 0.0551858, -0.00516313, -0.005187, -0.187764, 0.187907, 9.83765, 1528.63, 0
-0.0192208, -0.0181437, 0.0561875, -0.00496046, -0.0049864, -0.18763, 0.187761, 9.83419, 1529.54, 0
-0.019216, -0.0181403, 0.0571892, -0.00477782, -0.00480496, -0.18749, 0.187613, 9.83137, 1530.42, 0
-0.0192117, -0.0181368, 0.0581912, -0.00461253, -0.00464115, -0.187345, 0.187459, 9.82981, 1531.29, 0
-0.019208, -0.0181334, 0.0591936, -0.0044611, -0.00449245, -0.187192, 0.187299, 9.82925, 1532.13, 0
-0.0192046, -0.0181308, 0.0601965, -0.00432033, -0.0043558, -0.187033, 0.187133, 9.82954, 1532.95, 0
-0.0192017, -0.0181269, 0.0611996, -0.00418683, -0.00422812, -0.186866, 0.186961, 9.83098, 1533.76, 0
-0.0191985, -0.0181239, 0.062203, -0.0040581, -0.00410613, -0.186695, 0.186784, 9.83197, 1534.55, 0
-0.0191948, -0.0181208, 0.0632064, -0.00393311, -0.003987, -0.186519, 0.186603, 9.83323, 1535.32, 0
-0.0191905, -0.0181172, 0.0642098, -0.00381098, -0.003869, -0.186341, 0.18642, 9.8345, 1536.09, 0
-0.0191869, -0.0181132, 0.0652129, -0.00369149, -0.00375103, -0.18616, 0.186234, 9.83615, 1536.83, 0
-0.0191836, -0.0181099, 0.0662159, -0.00357479, -0.00363284, -0.185978, 0.186048, 9.8362, 1537.57, 0
